,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
<<<<<<< HEAD
perkname_wet_armor,Soaked Armor,,,,,,,,,,,,,
perkdesc_wet_armor,Reduces incoming damage by 50% for each unique stain you have applied.,,,,,,,,,,,,,
perkname_nohit_crits,Glass Crits,,,,,,,,,,,,,
perkdesc_nohit_crits,Gain +100% critical hit chance which is lost for 60 seconds upon taking damage.,,,,,,,,,,,,,
perkname_nohit_crits_cd,Shattered Pride,,,,,,,,,,,,,
perkdesc_nohit_crits_cd,Your Glass Crits perks will be ineffective until this status expires.,,,,,,,,,,,,,
perkname_bountiful_hunter,Bountiful Hunter,,,,,,,,,,,,,
perkdesc_bountiful_hunter,"Enemies have 5% less health, drop power-ups, and are more common!",,,,,,,,,,,,,
=======
perk_thingsmod_wet_armor_name,Soaked Armor,,,,,,,,,,,,,
perk_thingsmod_wet_armor_desc,Reduces incoming damage by 50% for each unique stain you have applied.,,,,,,,,,,,,,
perk_thingsmod_nohit_crits_name,Glass Crits,,,,,,,,,,,,,
perk_thingsmod_nohit_crits_desc,Gain +100% critical hit chance which is lost for 60 seconds upon taking damage.,,,,,,,,,,,,,
perk_thingsmod_nohit_crits_cd_name,Shattered Pride,,,,,,,,,,,,,
perk_thingsmod_nohit_crits_cd_desc,Your Glass Crits perks will be ineffective until this status expires.,,,,,,,,,,,,,
perk_thingsmod_bountiful_hunter_name,Bountiful Hunter,,,,,,,,,,,,,
perk_thingsmod_bountiful_hunter_desc,"Your foes are weaker and drop power-ups!",,,,,,,,,,,,,
>>>>>>> a8bf78a4e47e9c8ec9539ef887712c4e70e2eb92
